Feedback_ID,Client_Name,Service,Feedback_Text,Rating,Sentiment,Clean_Text,Tokens,Lemmatized
1001,TechVision,AI,Excellent AI solution and very accurate predictions,5,Positive,excellent ai solution and very accurate predictions,"['excellent', 'ai', 'solution', 'accurate', 'predictions']","['excellent', 'ai', 'solution', 'accurate', 'prediction']"
1002,FinTech Pro,Cloud,Cloud deployment was smooth and efficient,5,Positive,cloud deployment was smooth and efficient,"['cloud', 'deployment', 'smooth', 'efficient']","['cloud', 'deployment', 'smooth', 'efficient']"
1003,DataWorks,Analytics,Analytics dashboard provides valuable insights,5,Positive,analytics dashboard provides valuable insights,"['analytics', 'dashboard', 'provides', 'valuable', 'insights']","['analytics', 'dashboard', 'provides', 'valuable', 'insight']"
1004,CloudNova,Cloud,Cloud performance exceeded expectations,5,Positive,cloud performance exceeded expectations,"['cloud', 'performance', 'exceeded', 'expectations']","['cloud', 'performance', 'exceeded', 'expectation']"
1005,Retail Connect,Support,Customer support responded quickly and professionally,5,Positive,customer support responded quickly and professionally,"['customer', 'support', 'responded', 'quickly', 'professionally']","['customer', 'support', 'responded', 'quickly', 'professionally']"
1006,Smart Systems,AI,AI model improved our business efficiency,5,Positive,ai model improved our business efficiency,"['ai', 'model', 'improved', 'business', 'efficiency']","['ai', 'model', 'improved', 'business', 'efficiency']"
1007,Future Corp,Analytics,Great reporting and analytics features,5,Positive,great reporting and analytics features,"['great', 'reporting', 'analytics', 'features']","['great', 'reporting', 'analytics', 'feature']"
1008,TechVision,Support,Support team resolved issues promptly,4,Positive,support team resolved issues promptly,"['support', 'team', 'resolved', 'issues', 'promptly']","['support', 'team', 'resolved', 'issue', 'promptly']"
1009,Digital Hub,Cloud,Cloud infrastructure is reliable and scalable,5,Positive,cloud infrastructure is reliable and scalable,"['cloud', 'infrastructure', 'reliable', 'scalable']","['cloud', 'infrastructure', 'reliable', 'scalable']"
1010,CloudNova,AI,AI recommendations are highly accurate,5,Positive,ai recommendations are highly accurate,"['ai', 'recommendations', 'highly', 'accurate']","['ai', 'recommendation', 'highly', 'accurate']"
1011,DataWorks,Analytics,Analytics tools are easy to use,4,Positive,analytics tools are easy to use,"['analytics', 'tools', 'easy', 'use']","['analytics', 'tool', 'easy', 'use']"
1012,Retail Connect,Support,Support service needs improvement,2,Negative,support service needs improvement,"['support', 'service', 'needs', 'improvement']","['support', 'service', 'need', 'improvement']"
1013,FinTech Pro,Cloud,Cloud service reduced operational costs,5,Positive,cloud service reduced operational costs,"['cloud', 'service', 'reduced', 'operational', 'costs']","['cloud', 'service', 'reduced', 'operational', 'cost']"
1014,Future Corp,AI,AI automation saved significant time,5,Positive,ai automation saved significant time,"['ai', 'automation', 'saved', 'significant', 'time']","['ai', 'automation', 'saved', 'significant', 'time']"
1015,Smart Systems,Support,Support response was slow and disappointing,2,Negative,support response was slow and disappointing,"['support', 'response', 'slow', 'disappointing']","['support', 'response', 'slow', 'disappointing']"
1016,Digital Hub,Cloud,Cloud migration process was excellent,5,Positive,cloud migration process was excellent,"['cloud', 'migration', 'process', 'excellent']","['cloud', 'migration', 'process', 'excellent']"
1017,CloudNova,AI,AI system delivered outstanding results,5,Positive,ai system delivered outstanding results,"['ai', 'system', 'delivered', 'outstanding', 'results']","['ai', 'system', 'delivered', 'outstanding', 'result']"
1018,DataWorks,Analytics,Analytics platform is powerful,4,Positive,analytics platform is powerful,"['analytics', 'platform', 'powerful']","['analytics', 'platform', 'powerful']"
1019,Retail Connect,Support,Support quality was average,3,Neutral,support quality was average,"['support', 'quality', 'average']","['support', 'quality', 'average']"
1020,TechVision,AI,AI solution transformed our workflow,5,Positive,ai solution transformed our workflow,"['ai', 'solution', 'transformed', 'workflow']","['ai', 'solution', 'transformed', 'workflow']"
1021,Future Corp,Cloud,Cloud platform is stable and secure,5,Positive,cloud platform is stable and secure,"['cloud', 'platform', 'stable', 'secure']","['cloud', 'platform', 'stable', 'secure']"
1022,Smart Systems,Support,Support team was helpful,4,Positive,support team was helpful,"['support', 'team', 'helpful']","['support', 'team', 'helpful']"
1023,FinTech Pro,Analytics,Analytics reports are detailed,4,Positive,analytics reports are detailed,"['analytics', 'reports', 'detailed']","['analytics', 'report', 'detailed']"
1024,Digital Hub,AI,AI service exceeded expectations,5,Positive,ai service exceeded expectations,"['ai', 'service', 'exceeded', 'expectations']","['ai', 'service', 'exceeded', 'expectation']"
1025,CloudNova,Cloud,Cloud hosting is excellent,5,Positive,cloud hosting is excellent,"['cloud', 'hosting', 'excellent']","['cloud', 'hosting', 'excellent']"
1026,Retail Connect,Support,Support process was confusing,2,Negative,support process was confusing,"['support', 'process', 'confusing']","['support', 'process', 'confusing']"
1027,DataWorks,Analytics,Analytics helped identify business trends,5,Positive,analytics helped identify business trends,"['analytics', 'helped', 'identify', 'business', 'trends']","['analytics', 'helped', 'identify', 'business', 'trend']"
1028,TechVision,Cloud,Cloud solution improved performance,5,Positive,cloud solution improved performance,"['cloud', 'solution', 'improved', 'performance']","['cloud', 'solution', 'improved', 'performance']"
1029,Future Corp,AI,AI insights were extremely useful,5,Positive,ai insights were extremely useful,"['ai', 'insights', 'extremely', 'useful']","['ai', 'insight', 'extremely', 'useful']"
1030,Smart Systems,Support,Support experience was satisfactory,3,Neutral,support experience was satisfactory,"['support', 'experience', 'satisfactory']","['support', 'experience', 'satisfactory']"
1031,CloudNova,AI,AI predictions are reliable,5,Positive,ai predictions are reliable,"['ai', 'predictions', 'reliable']","['ai', 'prediction', 'reliable']"
1032,FinTech Pro,Cloud,Cloud deployment was successful,5,Positive,cloud deployment was successful,"['cloud', 'deployment', 'successful']","['cloud', 'deployment', 'successful']"
1033,Retail Connect,Support,Support quality could be better,2,Negative,support quality could be better,"['support', 'quality', 'could', 'better']","['support', 'quality', 'could', 'better']"
1034,Digital Hub,Analytics,Analytics dashboard looks professional,4,Positive,analytics dashboard looks professional,"['analytics', 'dashboard', 'looks', 'professional']","['analytics', 'dashboard', 'look', 'professional']"
1035,DataWorks,AI,Analytics significantly improved decision making,5,Positive,analytics significantly improved decision making,"['analytics', 'significantly', 'improved', 'decision', 'making']","['analytics', 'significantly', 'improved', 'decision', 'making']"
1036,TechVision,Cloud,Cloud service is outstanding,5,Positive,cloud service is outstanding,"['cloud', 'service', 'outstanding']","['cloud', 'service', 'outstanding']"
1037,CloudNova,Analytics,Analytics generated meaningful insights,5,Positive,analytics generated meaningful insights,"['analytics', 'generated', 'meaningful', 'insights']","['analytics', 'generated', 'meaningful', 'insight']"
1038,Future Corp,Support,Support response time was acceptable,3,Neutral,support response time was acceptable,"['support', 'response', 'time', 'acceptable']","['support', 'response', 'time', 'acceptable']"
1039,Retail Connect,AI,AI automation increased productivity,5,Positive,ai automation increased productivity,"['ai', 'automation', 'increased', 'productivity']","['ai', 'automation', 'increased', 'productivity']"
1040,Smart Systems,Cloud,Cloud environment is secure,5,Positive,cloud environment is secure,"['cloud', 'environment', 'secure']","['cloud', 'environment', 'secure']"
1041,FinTech Pro,Analytics,Analytics features are impressive,5,Positive,analytics features are impressive,"['analytics', 'features', 'impressive']","['analytics', 'feature', 'impressive']"
1042,Digital Hub,Support,Support team solved the problem quickly,5,Positive,support team solved the problem quickly,"['support', 'team', 'solved', 'problem', 'quickly']","['support', 'team', 'solved', 'problem', 'quickly']"
